California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
Arcohe Union Elementary School District,"4,598","4,402","3,555",91,68,219,25,30,50,17,1,12,84,11,2,0,5,4,458,196,,9500603060
Arena Union Elementary School District,"3,252","3,107","2,666",9,68,21,0,6,11,2,1,0,1,9,2,6,1,0,334,145,,9500603090
Armona Union Elementary School District,"6,672","6,282","3,575",186,100,121,14,0,83,5,1,3,15,15,10,0,2,3,"2,285",390,,9500603180
Aromas-San Juan Unified School District,"4,461","4,236","2,844",44,83,145,5,16,48,31,16,10,19,9,3,2,1,3,"1,111",225,,9700691136
Arvin Union Elementary School District,"19,762","18,907","10,516",197,251,165,48,6,82,0,2,1,26,6,4,0,2,0,"7,772",855,,9500603270
Atascadero Unified School District,"35,787","34,488","31,073",625,400,797,66,126,316,81,61,32,115,66,21,5,20,20,"1,527","1,299",,9700603300
Atwater Elementary School District,"33,800","32,193","21,627","1,769",468,"1,710",370,142,262,67,74,55,740,112,34,48,6,24,"6,507","1,607",,9500603420
Auburn Union Elementary School District,"33,064","31,850","29,197",236,375,638,62,126,197,128,36,17,72,25,9,6,2,8,"1,379","1,214",,9500603480
Azusa Unified School District,"66,825","63,702","38,304","1,877",819,"5,102",366,914,"2,453",291,305,236,537,110,28,20,28,34,"17,490","3,123",,9700603600
Baker Valley Unified School District,973,938,476,9,19,14,7,0,2,1,4,0,0,14,0,2,12,0,406,35,,9700603610
Bakersfield City Elementary School District,"185,976","177,182","95,032","15,779","3,941","3,506",651,381,"1,428",135,177,127,607,205,51,47,32,75,"58,719","8,794",,9500603630
Baldwin Park Unified School District,"74,690","71,889","32,657",906,661,"10,655",61,"3,904","3,397",121,118,"1,901","1,153",80,12,14,21,33,"26,930","2,801",,9700603690
Ballard Elementary School District,"1,435","1,392","1,333",6,9,10,0,1,2,4,0,1,2,0,0,0,0,0,34,43,,9500603720
Ballico-Cressey Elementary School District,"2,089","1,997","1,282",12,17,142,48,6,17,60,0,5,6,6,2,0,3,1,538,92,,9500603750
Bangor Union Elementary School District,"1,251","1,151","1,069",8,29,7,2,1,4,0,0,0,0,1,1,0,0,0,37,100,,9500603780
Banning Unified School District,"33,489","31,782","21,477","2,294","1,300","1,585",38,64,299,61,85,20,"1,018",61,20,4,20,17,"5,065","1,707",,9700603840
Banta Elementary School District,"5,206","5,132","3,456","1,017",56,69,14,7,7,3,5,3,30,20,4,1,10,5,514,74,,9500603870
Barstow Unified School District,"33,588","31,226","19,161","3,789",730,910,56,91,453,72,122,24,92,345,23,153,147,22,"6,291","2,362",,9700604020
Bass Lake Joint Union Elementary School District,"12,108","11,659","10,987",51,295,140,35,31,22,20,12,6,14,5,2,3,0,0,181,449,,9500604080
Bassett Unified School District,"26,667","25,703","13,711",450,279,"2,054",22,557,732,44,17,436,246,37,5,8,22,2,"9,172",964,,9700604110
Bayshore Elementary School District,"5,729","5,454",949,295,19,"3,358",55,"1,490","1,475",17,22,132,167,115,0,0,102,13,718,275,,9500604200
Bear Valley Unified School District,"18,525","17,781","15,538",106,257,191,25,40,41,30,20,5,30,45,26,9,5,5,"1,644",744,,9700604230
Beardsley Elementary School District,"17,072","16,351","13,354",599,316,355,55,7,98,140,9,4,42,17,6,5,1,5,"1,710",721,,9500604260
Beaumont Unified School District,"47,730","45,454","32,324","2,489",708,"3,062",195,391,"1,297",114,281,170,614,92,21,38,12,21,"6,779","2,276",,9700604290
Bella Vista Elementary School District,"3,782","3,665","3,412",47,96,36,1,4,14,6,2,0,9,9,8,1,0,0,65,117,,9500604350
Belleview Elementary School District,"1,761","1,695","1,651",6,12,9,0,4,3,0,0,1,1,2,1,0,1,0,15,66,,9500604500
Bellevue Union Elementary School District,"24,555","23,230","14,229",700,544,"1,492",151,159,275,47,37,260,563,82,12,4,21,45,"6,183","1,325",,9500604380
Bellflower Unified School District,"81,321","77,242","37,472","10,060",749,"10,510",478,686,"5,430",339,884,574,"2,119",674,46,68,414,146,"17,777","4,079",,9700604440
Belmont-Redwood Shores Elementary School District,"40,835","38,443","25,765",697,102,"10,191","1,933","4,643","1,409",792,455,193,766,239,36,21,15,167,"1,449","2,392",,9500604530
Belridge Elementary School District,119,119,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,,9500604560
Bend Elementary School District,937,908,854,4,20,4,0,0,1,2,1,0,0,1,1,0,0,0,25,29,,9500604590
Benicia Unified School District,"27,136","25,333","19,647","1,516",136,"3,036",250,505,"1,693",157,142,82,207,102,19,41,13,29,896,"1,803",,9700604620
Bennett Valley Union Elementary School District,"9,614","9,228","8,398",110,92,283,40,75,54,41,31,7,35,41,6,1,6,28,304,386,,9500604650
Berkeley Unified School District,"112,517","105,529","66,981","11,208",479,"21,690","2,712","9,641","1,640","1,752","2,392","1,110","2,443",186,30,30,43,83,"4,985","6,988",,9700604740
Berryessa Union Elementary School District,"79,442","76,042","17,523","1,962",444,"49,824","4,970","12,613","11,608","1,012",740,"16,180","2,701",431,59,86,162,124,"5,858","3,400",,9500604800
Beverly Hills Unified School District,"34,150","32,468","28,142",749,48,"3,031",235,610,340,267,"1,350",50,179,12,3,4,1,4,486,"1,682",,9700604830
Big Creek Elementary School District,444,428,406,1,5,6,0,1,4,1,0,0,0,1,1,0,0,0,9,16,,9500604860
Big Lagoon Union Elementary School District,455,439,390,1,39,3,0,1,0,1,1,0,0,0,0,0,0,0,6,16,,9500604890
Big Oak Flat-Groveland Unified School District,"5,335","5,142","4,884",37,72,45,1,6,19,13,4,0,2,11,8,1,0,2,93,193,,9700691137
Big Pine Unified School District,"1,860","1,794","1,282",7,438,13,0,0,7,3,1,0,2,1,1,0,0,0,53,66,,9700604950
Big Springs Union Elementary School District,"1,804","1,726","1,596",20,33,31,1,5,9,7,3,2,4,5,1,2,0,2,41,78,,9500604980
Big Valley Joint Unified School District,"1,802","1,754","1,584",21,57,10,0,1,3,5,0,0,1,0,0,0,0,0,82,48,,9700605010
Biggs Unified School District,"3,489","3,355","2,795",33,98,52,12,5,4,4,1,1,25,2,2,0,0,0,375,134,,9700605040
Bishop Joint Union High School District,"12,976","12,579","9,799",81,"1,344",196,43,29,21,40,7,11,45,8,3,2,0,3,"1,151",397,,9600605160
Bishop Union Elementary School District,"11,908","11,547","8,907",43,"1,307",182,43,28,20,35,5,9,42,8,3,2,0,3,"1,100",361,,9500605130
Bitterwater-Tully Union Elementary School District,123,122,120,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9500605190
Black Butte Union Elementary School District,"4,366","4,190","4,013",11,95,26,3,3,9,3,5,0,3,4,2,1,0,1,41,176,,9500605220
Black Oak Mine Unified School District,"13,572","13,091","12,472",96,198,113,4,20,37,28,4,3,17,11,6,0,2,3,201,481,,9700605240
Blake Elementary School District,169,157,133,4,11,2,1,0,0,1,0,0,0,0,0,0,0,0,7,12,,9500605250
Blochman Union Elementary School District,727,688,608,3,24,9,0,2,1,2,0,3,1,2,2,0,0,0,42,39,,9500605280
Blue Lake Union Elementary School District,"2,515","2,399","2,181",10,151,20,2,3,2,3,5,3,2,5,3,0,2,0,32,116,,9500605400
Bogus Elementary School District,369,358,336,0,17,3,0,0,1,1,0,1,0,0,0,0,0,0,2,11,,9500605490
Bolinas-Stinson Union Elementary School District,"2,339","2,238","2,065",32,18,35,0,10,7,6,1,0,11,15,0,10,0,5,73,101,,9500605520
Bonita Unified School District,"61,242","58,297","44,685","2,114",490,"5,400",610,"1,414","1,638",494,356,258,630,111,45,24,19,23,"5,497","2,945",,9700605610
Bonny Doon Union Elementary School District,"2,933","2,851","2,698",15,15,56,6,12,7,18,2,5,6,6,2,1,1,2,61,82,,9500605640
Bonsall Union Elementary School District,"17,069","16,216","12,287",371,695,"1,075",22,119,488,106,82,156,102,121,29,22,65,5,"1,667",853,,9500605670
Borrego Springs Unified School District,"3,869","3,768","3,102",22,66,30,2,7,7,3,0,1,10,5,2,1,0,2,543,101,,9700605700
Bradley Union Elementary School District,434,412,369,5,6,9,0,1,6,0,0,2,0,3,2,0,0,1,20,22,,9500605730
Brawley Elementary School District,"25,664","24,634","13,974",512,245,355,37,56,214,8,12,8,20,32,4,13,9,6,"9,516","1,030",,9500605790
Brawley Union High School District,"28,597","27,474","15,458",539,305,375,38,62,220,10,12,8,25,45,4,14,13,14,"10,752","1,123",,9600605820
Brea-Olinda Unified School District,"38,217","36,595","24,596",545,176,"8,204",944,"1,694","1,053",375,"3,008",513,617,70,22,11,10,27,"3,004","1,622",,9700605880
Brentwood Union Elementary School District,"54,635","50,804","36,646","3,678",359,"4,534",488,547,"2,468",150,173,257,451,209,47,56,30,76,"5,378","3,831",,9500605910
Bret Harte Union High School District,"19,614","19,007","17,823",126,194,212,26,46,61,38,9,1,31,37,12,12,3,10,615,607,,9600605940
Bridgeville Elementary School District,556,527,465,1,40,4,0,0,2,1,0,0,1,1,0,0,0,1,16,29,,9500606000
Briggs Elementary School District,"2,709","2,599","1,820",20,33,17,1,1,8,2,2,1,2,3,1,0,0,2,706,110,,9500606030
Brisbane Elementary School District,"8,324","7,819","3,986",224,44,"2,931",89,"1,376","1,037",92,91,96,150,64,9,3,29,23,570,505,,9500606060
Brittan Elementary School District,"3,567","3,383","3,044",21,70,41,12,3,2,15,1,1,7,1,1,0,0,0,206,184,,9500606090
Browns Elementary School District,950,922,665,8,18,64,17,3,7,3,3,0,31,1,0,0,0,1,166,28,,9500606100
Buckeye Union Elementary School District,"36,051","34,412","30,350",486,322,"2,476",560,492,619,108,290,216,191,74,13,19,2,40,704,"1,639",,9500606270
Buellton Union Elementary School District,"5,635","5,387","4,568",47,81,145,10,34,15,17,27,14,28,6,1,4,0,1,540,248,,9500606330
Buena Park Elementary School District,"47,854","45,558","18,544","2,131",543,"14,415","1,197",952,"3,414",388,"7,033",692,739,208,26,37,89,56,"9,717","2,296",,9500606360
Buena Vista Elementary School District,431,415,299,1,3,3,0,0,0,0,0,0,3,0,0,0,0,0,109,16,,9500606420
Burbank Unified School District,"103,336","98,344","75,163","2,600",486,"12,007","1,502","1,090","4,835",716,"2,140",673,"1,051",89,28,13,14,34,"7,999","4,992",,9700606450
Burlingame Elementary School District,"29,906","28,454","20,344",361,75,"6,082",496,"3,032","1,196",489,393,93,383,139,29,7,17,86,"1,453","1,452",,9500606480
Burnt Ranch Elementary School District,803,759,707,1,44,4,0,0,0,1,0,0,3,0,0,0,0,0,3,44,,9500606510
Burrel Union Elementary School District,522,505,254,8,0,13,12,0,0,1,0,0,0,0,0,0,0,0,230,17,,9500606540
Burton Elementary School District,"16,987","16,123","10,467",168,271,"1,278",112,63,809,10,18,24,242,23,6,5,6,6,"3,916",864,,9500606570
Butte Valley Unified School District,"2,036","1,940","1,561",19,50,14,0,0,11,2,0,1,0,8,3,0,5,0,288,96,,9700606580
Butteville Union Elementary School District,"1,745","1,683","1,508",26,50,36,9,1,0,5,2,0,19,0,0,0,0,0,63,62,,9500606690
Buttonwillow Union Elementary School District,"2,134","2,079",817,39,11,19,0,1,2,0,0,1,15,0,0,0,0,0,"1,193",55,,9500606720
Byron Union Elementary School District,"14,957","14,143","12,128",597,99,515,36,81,251,44,13,44,46,61,26,4,4,27,743,814,,9500606750
Cabrillo Unified School District,"25,434","24,425","19,782",182,194,"1,024",78,255,334,177,36,39,105,25,0,6,2,17,"3,218","1,009",,9700606780
Cajon Valley Union Elementary School District,"160,974","150,907","117,747","8,927","1,233","5,398",229,685,"2,640",363,184,551,746,675,109,334,151,81,"16,927","10,067",,9500606810
Calaveras Unified School District,"25,964","24,771","22,699",257,495,359,28,43,136,52,15,22,63,42,26,7,1,8,919,"1,193",,9700606870
Calexico Unified School District,"39,047","37,378","23,461",137,207,508,16,335,43,10,81,14,9,22,6,4,3,9,"13,043","1,669",,9700606900
Caliente Union Elementary School District,915,862,802,5,21,8,0,0,3,3,2,0,0,0,0,0,0,0,26,53,,9500606960
Calipatria Unified School District,"10,397","10,069","5,024","1,719",123,163,12,19,72,13,5,23,19,26,6,3,8,9,"3,014",328,,9700606990
Calistoga Joint Unified School District,"7,173","6,788","5,518",34,40,95,4,27,34,11,8,1,10,12,3,3,0,6,"1,089",385,,9700607020
Cambrian Elementary School District,"30,198","28,412","20,851",732,222,"4,199",682,"1,156",598,472,311,642,338,123,16,14,16,77,"2,285","1,786",,9500607140
Camino Union Elementary School District,"4,307","4,186","3,880",12,37,60,1,10,20,12,4,0,13,3,2,0,0,1,194,121,,9500607170
Campbell Union Elementary School District,"94,394","89,178","57,232","3,749",759,"16,271","2,889","4,222","2,317","1,543","1,665","2,304","1,331",470,61,75,126,208,"10,697","5,216",,9500607200
Campbell Union High School District,"220,303","208,101","138,305","6,934","1,555","40,049","7,138","11,940","4,790","4,236","4,140","4,894","2,911",972,163,134,228,447,"20,286","12,202",,9600607230
Camptonville Elementary School District,738,680,616,1,38,12,6,1,2,2,1,0,0,1,0,1,0,0,12,58,,9500607260
Canyon Elementary School District,237,230,209,2,2,17,0,6,6,0,3,0,2,0,0,0,0,0,0,7,,9500607350
Capay Joint Union Elementary School District,"1,047","1,019",909,3,21,26,3,3,1,1,2,0,16,1,1,0,0,0,59,28,,9500607410
Capistrano Unified School District,"343,291","328,389","276,933","3,920","1,525","26,645","3,173","5,390","6,024","3,248","3,179","2,939","2,692",473,205,75,57,136,"18,893","14,902",,9700607440
Cardiff Elementary School District,"11,105","10,718","9,696",45,76,348,57,93,58,70,21,22,27,17,7,6,0,4,536,387,,9500607470
Carlsbad Unified School District,"70,931","67,868","57,423","1,100",413,"4,875",803,"1,152",863,564,590,511,392,159,43,29,57,30,"3,898","3,063",,9700607500
Carmel Unified School District,"22,991","22,436","20,869",118,70,804,54,167,122,190,106,5,160,36,13,6,1,16,539,555,,9700607530
Carpinteria Unified School District,"17,930","17,295","13,631",133,165,424,46,66,58,131,41,29,53,22,9,7,1,5,"2,920",635,,9700607560
Caruthers Unified School District,"5,077","4,899","2,767",27,113,417,344,17,20,15,0,0,21,5,0,0,0,5,"1,570",178,,9700600067
Cascade Union Elementary School District,"15,088","14,324","12,719",101,599,310,31,14,61,16,3,10,175,30,10,10,1,9,565,764,,9500607680
Castaic Union Elementary School District,"30,418","29,135","17,620","2,894",168,"2,338",215,195,"1,147",110,305,118,248,39,15,6,5,13,"6,076","1,283",,9500607740
Castle Rock Union Elementary School District,358,344,331,4,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,,9500607770
Castro Valley Unified School District,"49,397","46,351","29,534","2,381",253,"11,670",971,"6,386","1,592",461,892,560,808,289,41,33,23,192,"2,224","3,046",,9700607800
Cayucos Elementary School District,"2,873","2,782","2,621",6,12,55,11,11,12,10,6,3,2,11,9,1,0,1,77,91,,9500607840
Center Joint Unified School District,"27,508","25,387","17,836","2,553",272,"3,089",742,197,"1,036",75,88,351,600,236,29,60,44,103,"1,401","2,121",,9700607900
Centinela Valley Union High School District,"163,420","155,415","63,232","27,271","1,226","11,823",902,947,"3,844",701,599,"3,339","1,491","1,744",100,60,322,"1,262","50,119","8,005",,9600607920
Central Elementary School District,"39,392","37,236","24,263","3,730",316,"2,971",298,490,969,118,360,205,531,109,18,10,40,41,"5,847","2,156",,9500607950
Central Unified School District,"70,076","66,358","33,841","5,777","1,209","10,684","4,155",593,"1,438",298,88,458,"3,654",151,16,47,56,32,"14,696","3,718",,9700607970
Central Union Elementary School District,"10,904","10,032","6,426",840,649,615,24,26,420,45,29,17,54,55,9,29,3,14,"1,447",872,,9500607980
Central Union High School District,"57,817","54,791","34,582","1,280",655,"1,174",199,198,390,50,193,69,75,45,5,16,14,10,"17,055","3,026",,9600608010
Centralia Elementary School District,"55,193","52,371","26,122","2,054",446,"15,791","1,874","1,552","4,989",793,"4,096","1,358","1,129",391,55,62,155,119,"7,567","2,822",,9500608070
Ceres Unified School District,"53,719","50,939","32,190","1,331",717,"3,213","1,569",147,422,39,31,62,943,366,40,27,130,169,"13,122","2,780",,9700608130
Chaffey Joint Union High School District,"396,129","376,163","220,180","32,725","3,454","32,966","2,980","5,746","11,010",955,"3,113","4,255","4,907","1,126",178,119,274,555,"85,712","19,966",,9600608160
Charter Oak Unified School District,"36,611","34,836","23,695","1,205",311,"4,156",602,876,"1,562",323,130,226,437,73,24,14,15,20,"5,396","1,775",,9700608190
Chatom Union Elementary School District,"4,459","4,278","3,364",16,29,38,24,1,10,1,1,1,0,7,1,0,0,6,824,181,,9500608250
Chawanakee Unified School District,"4,684","4,425","3,795",33,429,48,5,9,10,8,1,1,14,4,3,1,0,0,116,259,,9700600116
Chicago Park Elementary School District,"1,204","1,159","1,088",6,15,4,0,0,1,1,0,0,2,0,0,0,0,0,46,45,,9500608340
Chico Unified School District,"107,182","102,145","87,882","1,950","1,447","4,229",375,676,463,342,196,179,"1,998",246,59,54,43,90,"6,391","5,037",,9700608370
Chino Valley Unified School District,"172,848","164,739","93,176","9,210","1,368","32,428","2,746","10,102","9,604",978,"4,129","1,769","3,100",344,79,62,100,103,"28,213","8,109",,9700608460
Chowchilla Elementary School District,"21,902","21,055","13,454","2,488",419,439,176,37,121,12,23,22,48,37,5,3,18,11,"4,218",847,,9500608520
Chowchilla Union High School District,"23,689","22,774","14,579","2,505",440,460,186,38,128,15,23,22,48,39,6,3,18,12,"4,751",915,,9600608550
Chualar Union Elementary School District,"2,112","2,063",835,6,16,26,0,0,15,11,0,0,0,2,0,0,0,2,"1,178",49,,9500608580
Chula Vista Elementary School District,"280,181","263,941","150,482","12,662","2,121","40,178",628,"1,872","30,918","2,185","2,119",982,"1,474","1,604",186,954,270,194,"56,894","16,240",,9500608610
Cienega Union Elementary School District,173,163,132,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,,9500608640
Cinnabar Elementary School District,"2,584","2,493","2,147",34,8,40,2,4,6,17,2,0,9,6,0,1,0,5,258,91,,9500608700
Citrus South Tule Elementary School District,455,439,395,3,12,11,8,0,0,0,2,0,1,0,0,0,0,0,18,16,,9500608730
Claremont Unified School District,"41,252","39,093","28,745","2,206",231,"5,140",623,"1,783",559,321,831,435,588,64,8,6,28,22,"2,707","2,159",,9700608760
Clay Joint Elementary School District,500,492,366,2,5,20,0,0,1,17,0,0,2,0,0,0,0,0,99,8,,9500608850
Clear Creek Elementary School District,"1,716","1,643","1,550",3,19,19,0,4,8,3,1,2,1,4,0,0,0,4,48,73,,9500608880
Cloverdale Unified School District,"10,683","10,310","8,198",53,199,113,14,32,29,13,5,9,11,12,6,1,1,4,"1,735",373,,9700608970
Clovis Unified School District,"189,683","180,904","132,856","5,596","2,263","23,214","3,567","2,766","3,982","1,679",999,"1,330","8,891",363,98,83,68,114,"16,612","8,779",,9700609030
Coachella Valley Unified School District,"85,553","83,240","41,852",709,791,742,49,101,363,62,67,41,59,64,15,16,15,18,"39,082","2,313",,9700609070
Coalinga-Huron Joint Unified School District,"26,275","25,345","13,401","1,923",318,483,87,90,152,43,14,13,84,48,17,5,18,8,"9,172",930,,9700609120
Coast Unified School District,"6,947","6,770","5,850",23,54,92,12,19,16,20,10,10,5,17,6,7,1,3,734,177,,9700600049
Coffee Creek Elementary School District,239,233,219,0,5,6,0,3,0,1,0,0,2,0,0,0,0,0,3,6,,9500609240
Cold Spring Elementary School District,"2,952","2,846","2,634",24,19,127,10,24,14,20,21,3,35,4,1,0,0,3,38,106,,9500609270
Colfax Elementary School District,"5,304","5,064","4,793",17,87,51,12,12,13,8,3,2,1,2,2,0,0,0,114,240,,9500609300
College Elementary School District,"5,818","5,637","4,979",31,249,59,2,9,20,18,5,1,4,6,3,1,2,0,313,181,,9500609330
Colton Joint Unified School District,"112,844","107,426","56,051","8,868","1,337","6,177",617,488,"2,502",161,383,588,"1,438",289,52,46,99,92,"34,704","5,418",,9700609390
Columbia Elementary School District,"9,759","9,435","8,800",80,133,252,26,35,40,36,35,17,63,16,8,5,2,1,154,324,,9500609450
Columbia Union Elementary School District,"6,194","5,931","5,673",42,83,60,5,8,24,16,2,1,4,8,6,1,0,1,65,263,,9500609480
Columbine Elementary School District,262,258,120,0,0,24,16,0,7,1,0,0,0,0,0,0,0,0,114,4,,9500609510
Colusa Unified School District,"7,710","7,393","5,297",61,183,100,29,14,24,17,5,4,7,44,7,6,0,31,"1,708",317,,9700609570
Compton Unified School District,"154,769","149,662","39,321","51,488","1,091","1,138",97,101,518,77,146,74,125,960,19,21,808,112,"55,664","5,107",,9700609620
Conejo Valley Unified School District,"135,029","129,965","108,740","1,737",532,"11,461","2,570","3,923","1,387",973,"1,139",535,934,152,68,16,22,46,"7,343","5,064",,9700609640
Corcoran Joint Unified School District,"26,190","25,505","9,525","3,773",368,212,31,38,89,5,5,6,38,17,4,5,3,5,"11,610",685,,9700609690
Corning Union Elementary School District,"14,641","14,031","10,736",95,374,166,27,13,43,8,7,6,62,22,10,0,8,4,"2,638",610,,9500609780
Corning Union High School District,"17,166","16,471","12,789",130,439,184,27,16,51,8,9,6,67,26,12,0,9,5,"2,903",695,,9600609810
